title,,authors,journal,doi
Synergistic inhibition of human cytomegalovirus replication by interferon-alpha/beta and interferon-gamma,,"Sainz, Bruno; LaMarca, Heather L; Garry, Robert F; Morris, Cindy A",Virol J,10.1186/1743-422x-2-14
Orientation determination by wavelets matching for 3D reconstruction of very noisy electron microscopic virus images,,"Saad, Ali Samir",BMC Struct Biol,10.1186/1472-6807-5-5
Recombination Every Day: Abundant Recombination in a Virus during a Single Multi-Cellular Host Infection,,"Froissart, Remy; Roze, Denis; Uzest, Marilyne; Galibert, Lionel; Blanc, Stephane; Michalakis, Yannis",PLoS Biol,10.1371/journal.pbio.0030089
Why can't I visit? The ethics of visitation restrictions – lessons learned from SARS,,"Rogers, Sharon",Crit Care,10.1186/cc2930
Prospective evaluation of an internet-linked handheld computer critical care knowledge access system,,"Lapinsky, Stephen E; Wax, Randy; Showalter, Randy; Martinez-Motta, J Carlos; Hallett, David; Mehta, Sangeeta; Burry, Lisa; Stewart, Thomas E",Crit Care,10.1186/cc2967
Scanning the horizon: emerging hospital-wide technologies and their impact on critical care,,"Suntharalingam, Ganesh; Cousins, Jonathan; Gattas, David; Chapman, Martin",Crit Care,10.1186/cc3046
"Characterization of the frameshift signal of Edr, a mammalian example of programmed −1 ribosomal frameshifting",,"Manktelow, Emily; Shigemoto, Kazuhiro; Brierley, Ian",Nucleic Acids Res,10.1093/nar/gki299
Correcting errors in synthetic DNA through consensus shuffling,,"Binkowski, Brock F.; Richmond, Kathryn E.; Kaysen, James; Sussman, Michael R.; Belshaw, Peter J.",Nucleic Acids Res,10.1093/nar/gni053
Species-independent detection of RNA virus by representational difference analysis using non-ribosomal hexanucleotides for reverse transcription,,"Endoh, Daiji; Mizutani, Tetsuya; Kirisawa, Rikio; Maki, Yoshiyuki; Saito, Hidetoshi; Kon, Yasuhiro; Morikawa, Shigeru; Hayashi, Masanobu",Nucleic Acids Res,10.1093/nar/gni064
Subversion of Cellular Autophagosomal Machinery by RNA Viruses,,"Jackson, William T; Giddings, Thomas H; Taylor, Matthew P; Mulinyawe, Sara; Rabinovitch, Marlene; Kopito, Ron R; Kirkegaard, Karla",PLoS Biol,10.1371/journal.pbio.0030156
The immediate effects of the severe acute respiratory syndrome (SARS) epidemic on childbirth in Taiwan,,"Lee, Cheng-Hua; Huang, Nicole; Chang, Hong-Jen; Hsu, Yea-Jen; Wang, Mei-Chu; Chou, Yiing-Jenq",BMC Public Health,10.1186/1471-2458-5-30
Molecular advances in the cell biology of SARS-CoV and current disease prevention strategies,,"Stark, Caren J; Atreya, CD",Virol J,10.1186/1743-422x-2-35
Individual sequences in large sets of gene sequences may be distinguished efficiently by combinations of shared sub-sequences,,"Gibbs, Mark J; Armstrong, John S; Gibbs, Adrian J",BMC Bioinformatics,10.1186/1471-2105-6-90
Absence of association between angiotensin converting enzyme polymorphism and development of adult respiratory distress syndrome in patients with severe acute respiratory syndrome: a case control study,,"Chan, KC Allen; Tang, Nelson LS; Hui, David SC; Chung, Grace TY; Wu, Alan KL; Chim, Stephen SC; Chiu, Rossa WK; Lee, Nelson; Choi, KW; Sung, YM; Chan, Paul KS; Tong, YK; Lai, ST; Yu, WC; Tsang, Owen; Lo, YM Dennis",BMC Infect Dis,10.1186/1471-2334-5-26
A Three-Stemmed mRNA Pseudoknot in the SARS Coronavirus Frameshift Signal,,"Plant, Ewan P; Pérez-Alvarado, Gabriela C; Jacobs, Jonathan L; Mukhopadhyay, Bani; Hennig, Mirko; Dinman, Jonathan D",PLoS Biol,10.1371/journal.pbio.0030172
The Microbial Rosetta Stone Database: A compilation of global and emerging infectious microorganisms and bioterrorist threat agents,,"Ecker, David J; Sampath, Rangarajan; Willett, Paul; Wyatt, Jacqueline R; Samant, Vivek; Massire, Christian; Hall, Thomas A; Hari, Kumar; McNeil, John A; Büchen-Osmond, Cornelia; Budowle, Bruce",BMC Microbiol,10.1186/1471-2180-5-19
HIV Epidemiology in Africa: Weak Variables and Tendentiousness Generate Wobbly Conclusions,,"Brody, Stuart; Potterat, John J",PLoS Med,10.1371/journal.pmed.0020137
"Inhibition of SARS-CoV 3C-like Protease Activity by Theaflavin-3,3′-digallate (TF3)",,"Chen, Chia-Nan; Lin, Coney P. C.; Huang, Kuo-Kuei; Chen, Wei-Cheng; Hsieh, Hsin-Pang; Liang, Po-Huang; Hsu, John T.-A.",Evid Based Complement Alternat Med,10.1093/ecam/neh081
Receptor and viral determinants of SARS-coronavirus adaptation to human ACE2,,"Li, Wenhui; Zhang, Chengsheng; Sui, Jianhua; Kuhn, Jens H; Moore, Michael J; Luo, Shiwen; Wong, Swee-Kee; Huang, I-Chueh; Xu, Keming; Vasilieva, Natalya; Murakami, Akikazu; He, Yaqing; Marasco, Wayne A; Guan, Yi; Choe, Hyeryun; Farzan, Michael",The EMBO Journal,10.1038/sj.emboj.7600640
Pseudoknots: RNA Structures with Diverse Functions,,"Staple, David W; Butcher, Samuel E",PLoS Biol,10.1371/journal.pbio.0030213
Three-dimensional structure of the bacteriophage P22 tail machine,,"Tang, Liang; Marion, William R; Cingolani, Gino; Prevelige, Peter E; Johnson, John E",The EMBO Journal,10.1038/sj.emboj.7600695
Integration of the Gene Ontology into an object-oriented architecture,,"Shegogue, Daniel; Zheng, W Jim",BMC Bioinformatics,10.1186/1471-2105-6-113
Software for optimization of SNP and PCR-RFLP genotyping to discriminate many genomes with the fewest assays,,"Gardner, Shea N; Wagner, Mark C",BMC Genomics,10.1186/1471-2164-6-73
CXCR2 is critical for dsRNA-induced lung injury: relevance to viral lung infection,,"Londhe, Vedang A; Belperio, John A; Keane, Michael P; Burdick, Marie D; Xue, Ying Ying; Strieter, Robert M",J Inflamm (Lond),10.1186/1476-9255-2-4
Persistence of lung inflammation and lung cytokines with high-resolution CT abnormalities during recovery from SARS,,"Wang, Chun-Hua; Liu, Chien-Ying; Wan, Yung-Liang; Chou, Chun-Liang; Huang, Kuo-Hsiung; Lin, Horng-Chyuan; Lin, Shu-Min; Lin, Tzou-Yien; Chung, Kian Fan; Kuo, Han-Pin",Respir Res,10.1186/1465-9921-6-42
"PRED(BALB/c): a system for the prediction of peptide binding to H2(d) molecules, a haplotype of the BALB/c mouse",,"Zhang, Guang Lan; Srinivasan, Kellathur N.; Veeramani, Anitha; August, J. Thomas; Brusic, Vladimir",Nucleic Acids Res,10.1093/nar/gki479
GENSTYLE: exploration and analysis of DNA sequences with genomic signature,,"Fertil, Bernard; Massin, Matthieu; Lespinats, Sylvain; Devic, Caroline; Dumee, Philippe; Giron, Alain",Nucleic Acids Res,10.1093/nar/gki489
A Severe Acute Respiratory Syndrome extranet: supporting local communication and information dissemination,,"Valaitis, Ruta K; Akhtar-Danesh, Noori; Kealey, Cathy M; Brunetti, Glenn M; Thomas, Helen",BMC Med Inform Decis Mak,10.1186/1472-6947-5-17
Dissecting RNA recombination in vitro: role of RNA sequences and the viral replicase.,,"Nagy, P D; Zhang, C; Simon, A E",The EMBO Journal,10.1093/emboj/17.8.2392
RNA elements required for RNA recombination function as replication enhancers in vitro and in vivo in a plus‐strand RNA virus,,"Nagy, Peter D.; Pogany, Judit; Simon, Anne E.",EMBO J,10.1093/emboj/18.20.5653
Engendering enthusiasm for sustainable disaster critical care response: why this is of consequence to critical care professionals?,,"Dara, Saqib I; Ashton, Rendell W; Farmer, J Christopher",Crit Care,10.1186/cc3048
Biochip sensors for the rapid and sensitive detection of viral disease,,"Livingston, Andrew D; Campbell, Colin J; Wagner, Edward K; Ghazal, Peter",Genome Biol,10.1186/gb-2005-6-6-112
Peptide inhibitors of dengue virus and West Nile virus infectivity,,"Hrobowski, Yancey M; Garry, Robert F; Michael, Scott F",Virol J,10.1186/1743-422x-2-49
Appropriate Models for the Management of Infectious Diseases,,"Wearing, Helen J; Rohani, Pejman; Keeling, Matt J",PLoS Med,10.1371/journal.pmed.0020174
An atypical RNA pseudoknot stimulator and an upstream attenuation signal for −1 ribosomal frameshifting of SARS coronavirus,,"Su, Mei-Chi; Chang, Chung-Te; Chu, Chiu-Hui; Tsai, Ching-Hsiu; Chang, Kung-Yao",Nucleic Acids Res,10.1093/nar/gki731
Information theory-based algorithm for in silico prediction of PCR products with whole genomic sequences as templates,,"Cao, Youfang; Wang, Lianjie; Xu, Kexue; Kou, Chunhai; Zhang, Yulei; Wei, Guifang; He, Junjian; Wang, Yunfang; Zhao, Liping",BMC Bioinformatics,10.1186/1471-2105-6-190
Genetic lesions within the 3a gene of SARS-CoV,,"Tan, Timothy HP; Barkham, Timothy; Fielding, Burtram C; Chou, Chih-Fong; Shen, Shuo; Lim, Seng Gee; Hong, Wanjin; Tan, Yee-Joo",Virol J,10.1186/1743-422x-2-51
Conservation of pregnancy-specific glycoprotein (PSG) N domains following independent expansions of the gene families in rodents and primates,,"McLellan, Andrew S; Zimmermann, Wolfgang; Moore, Tom",BMC Evol Biol,10.1186/1471-2148-5-39
Croup Is Associated with the Novel Coronavirus NL63,,"van der Hoek, Lia; Sure, Klaus; Ihorst, Gabriele; Stang, Alexander; Pyrc, Krzysztof; Jebbink, Maarten F; Petersen, Gudula; Forster, Johannes; Berkhout, Ben; Überla, Klaus",PLoS Med,10.1371/journal.pmed.0020240
G0/G1 arrest and apoptosis induced by SARS-CoV 3b protein in transfected cells,,"Yuan, Xiaoling; Shan, Yajun; Zhao, Zhenhu; Chen, Jiapei; Cong, Yuwen",Virol J,10.1186/1743-422x-2-66
eCAM benefits from diversity that derives from CAM,,"Cooper, Edwin L.",Evid Based Complement Alternat Med,10.1093/ecam/neh120
Design of Wide-Spectrum Inhibitors Targeting Coronavirus Main Proteases,,"Yang, Haitao; Xie, Weiqing; Xue, Xiaoyu; Yang, Kailin; Ma, Jing; Liang, Wenxue; Zhao, Qi; Zhou, Zhe; Pei, Duanqing; Ziebuhr, John; Hilgenfeld, Rolf; Yuen, Kwok Yung; Wong, Luet; Gao, Guangxia; Chen, Saijuan; Chen, Zhu; Ma, Dawei; Bartlam, Mark; Rao, Zihe",PLoS Biol,10.1371/journal.pbio.0030324
Phosphatidylserine treatment relieves the block to retrovirus infection of cells expressing glycosylated virus receptors,,"Coil, David A; Miller, A Dusty",Retrovirology,10.1186/1742-4690-2-49
The influence of locked nucleic acid residues on the thermodynamic properties of 2′-O-methyl RNA/RNA heteroduplexes,,"Kierzek, Elzbieta; Ciesielska, Anna; Pasternak, Karol; Mathews, David H.; Turner, Douglas H.; Kierzek, Ryszard",Nucleic Acids Res,10.1093/nar/gki789
A new paradigm in respiratory hygiene: increasing the cohesivity of airway secretions to improve cough interaction and reduce aerosol dispersion,,"Zayas, Gustavo; Dimitry, John; Zayas, Ana; O'Brien, Darryl; King, Malcolm",BMC Pulm Med,10.1186/1471-2466-5-11
The health impacts of globalisation: a conceptual framework,,"Huynen, Maud MTE; Martens, Pim; Hilderink, Henk BM",Global Health,10.1186/1744-8603-1-14
The potential impact of the next influenza pandemic on a national primary care medical workforce,,"Wilson, Nick; Baker, Michael; Crampton, Peter; Mansoor, Osman",Hum Resour Health,10.1186/1478-4491-3-7
Macrophages and cytokines in the early defence against herpes simplex virus,,"Ellermann-Eriksen, Svend",Virol J,10.1186/1743-422x-2-59
"Patterns of HIV prevalence among injecting drug users in the cross-border area of Lang Son Province, Vietnam, and Ning Ming County, Guangxi Province, China",,"Des Jarlais, Don C; Johnston, Patrick; Friedmann, Patricia; Kling, Ryan; Liu, Wei; Ngu, Doan; Chen, Yi; Hoang, Tran V; Donghua, Meng; Van, Ly K; Tung, Nguyen D; Binh, Kieu T; Hammett, Theodore M",BMC Public Health,10.1186/1471-2458-5-89
Chloroquine is a potent inhibitor of SARS coronavirus infection and spread,,"Vincent, Martin J; Bergeron, Eric; Benjannet, Suzanne; Erickson, Bobbie R; Rollin, Pierre E; Ksiazek, Thomas G; Seidah, Nabil G; Nichol, Stuart T",Virol J,10.1186/1743-422x-2-69
The SARS Coronavirus S Glycoprotein Receptor Binding Domain: Fine Mapping and Functional Characterization,,"Chakraborti, Samitabh; Prabakaran, Ponraj; Xiao, Xiaodong; Dimitrov, Dimiter S",Virol J,10.1186/1743-422x-2-73
E-Predict: a computational strategy for species identification based on observed DNA microarray hybridization patterns,,"Urisman, Anatoly; Fischer, Kael F; Chiu, Charles Y; Kistler, Amy L; Beck, Shoshannah; Wang, David; DeRisi, Joseph L",Genome Biol,10.1186/gb-2005-6-9-r78
"Web GIS in practice III: creating a simple interactive map of England's Strategic Health Authorities using Google Maps API, Google Earth KML, and MSN Virtual Earth Map Control",,"Boulos, Maged N Kamel",Int J Health Geogr,10.1186/1476-072x-4-22
