roles,#doc,documents
Educator,25,"I think it is really interesting this question about how do we support early educators in terms of developing that equity lens, and making sure that were using our funds efficiently. I think that is always a really big question. Especially to, what would be the data to show that we were effective in our role in terms of supporting early career educators? I think that that is a really good question and I am not sure what that looks like and it is something we have had conversations around."
Local administrators/board members,109,"We are also a system that is kind of yet to specifically name some of the specific practices but have various initiatives and efforts that are geared in those spaces. So I can zoom in different points on kind of that, but I think were very much on a journey to kind of understanding where do these things meet, where do our values and our measures meet also at a time where we are very focused and our leadership is very focused on student outcomes in particular."
Local administrators/board members,110,"So students-of-color from educational justice is like actually specific subgroup of students, includes Southeast Asian students, American Indian students, African American females, they are like discreet groups from African American males."
Local administrators/board members,111,"And I think it came from, this predates my time in the district, but really came from some work, looking at opportunities and access barriers and really understanding historically who is least served by the system. And I think in a lot of ways was an opportunity to then create an aggregate group with the hopes that, that would not be as problematic as I think what our state does and what SPS honestly did kind of back when I was at CCR or we and others were in like lots of conversation around choices to aggregate White and Asian, which was this huge, huge grouping that was very problematic against all other students and kind of measuring that gap as monitoring measuring progress."
Local administrators/board members,112,"So this was, and from, again, my kind of purview you of a former outsider, no insider, as like really trying to focus on a group of students, but within there is huge, huge variance and also a lot of different experiences."
Local administrators/board members,113,"It is specifically defined but also something as a system that we revisit constantly. So right now we have, and this maybe takes us down another rabbit hole into racial identification and sub race. So per house bill 1541, like SPS is just now, kind of integrating that into our database. What is exciting about that is it also creates a subgroup for Middle Eastern, North African students to be more visible in our database, and so it has brought up to some really good conversations around, including those students who were previously aggregated into White to now be a part of our students-of-color group."
Local administrators/board members,114,"there is a lot of functional goals that come with making this aggregate, but then there is also a lot of harm that comes with that too. In my view necessitate, it then might prevent us as a system from taking the needed deep dives to truly understand nuances within communities when we have such a focus and at the same time becomes at least a through line across strategies, so leaders are focused on the students who are disproportionately impacted, so I definitely see both sides and some other rationale there."
Local administrators/board members,115,"It does is I think in a lot of ways we are still grappling with those questions and again, this is whereas a system that is also committed to transparency and wanting to have stated goals and targets and measures. There is always going to be that degree to which an aggregate outcome for specific measure and a specific group of students is relevant. So I think we are still kind of holding both things as true where we are in spaces where we are pursuing a lot of really nuanced conversations."
Local administrators/board members,116,"Ao last year I had the opportunity to lead conversations with black students and parents just across the diaspora to really understand nuances and their learning experiences. And we are going to be doing some similar work at the elementary grades. And I think where these qualitative and mixed methods, inquiries often take us is from my kind of bias into these spaces of deeper inquiry. We can kind of understanding variance by immigration status and lots of these other factors and at its best then making sure that there is clear feedback-loops to our specific strategies."
Local administrators/board members,117,"So I think there is this continuous improvement goal. That is really around these deeper inquiries and also kind of more recurring reporting that I think the gap that I see and the one that kind of you named around, how do we then track progress is then in kind of these measurable goals and that is where we find ourselves today."
Local administrators/board members,118,"So the board has come up with some kind of focused area goals. So there is four areas. It is really kind of like a deepening of the strategic plan that is happening right now, focusing on third grade reading, seventh grade math, I forget which grade science and then a college to career goal. And in those spaces, there is a set of goals and there is a set of guardrails as well. Kind of anyway, I can share all of this. it is going to be public pretty soon as and our board has started to have community meetings around them, which is a great move to really, yeah."
Local administrators/board members,119,"Kind of have some of these conversations around, how can we be so focused on student outcomes that really acknowledge that it is our systems and structures that need to change. So, yeah, I will not be able to fully answer it because we are very much in the pros of figuring out what does that reporting look like? There is a big need and interest in figuring out what public reporting can look like."
State nonprofits/advocacy orgs,159,"We definitely know that the finances can have an impact. things recently that have been done, there is been some investments in LAP, which is learning assistance program that does go out based on a poverty factor. So that at least helps some of our school districts that do not have the same economic resources, which are often our more diverse school districts as well."
State nonprofits/advocacy orgs,160,"Things that we have put into the system like levy equalization support also often helps some of the school districts keep up with the districts that have more buying power from their property tax base. None of that is perfect, in any measure."
State nonprofits/advocacy orgs,161,"When the state moved away from staff mix, when they went away from a salary structure that they funded and went to an average salary, that should have had some help for certain districts. but I think when we looked at it, honestly, when we look at the outcome, once you layer on regionalization, some other things that may not have had the same impacts that I think people were hoping for. Maybe it did not make things worse yet again. Maybe it was one thing that helped moderate things, but when you put the regionalization factor on, there is still some disparate impacts."
State nonprofits/advocacy orgs,162,"I think Federal-Way was one of the prime examples before. A very diverse high cost of living area that had a low staff mix, so they were getting less per student. But now, they are still at the south corner of King County. They are not getting the same regionalization as Bellevue and Seattle and some other areas. So they still did not maybe get all the benefit that we might want to see directed at such a diverse community."
State nonprofits/advocacy orgs,163,"One of the things that I would add in this front is that local school-board had a play also in how local schools are being managed. So one of the things that we have been engaging is working at the electoral level to make sure that we elect equally driven board members because again, a lot of those issues are political in nature in how you are able to address the situation at the school level."
State nonprofits/advocacy orgs,164,"I was reflecting on one and I think it is the flip side of a lot of the policies we want to make progress on. We are looking for a more diverse workforce, but yet many of our diverse educators that we bring in, there is so much turnover. they are tapped to be on every committee and so many things. And I do not know if it is a specific state policy that is holding that back or just a lack of states support and a lack of local support that is hampering some of that."
State nonprofits/advocacy orgs,165,"So that is why I cannot come up with a specific policy that is having a bad impact that I can think of now, but I can think of plenty of places where we have gaps where maybe the lack of action is, by default, a policy."
State nonprofits/advocacy orgs,166,One of the things that jump off has been the impact of mental health in Australian population. The governor utilized an emergency proclamation to reopen schools in purpose because the going mental health crisis in the state of Washington.
State nonprofits/advocacy orgs,167,"I think that for this unit, it is important to note the lack of necessary mental health resources for students around the state. We have been supportive of adding more wraparound services available for students, and COVID-19 has raised the impact that the mental health crisis have been having on our students due to the lack of resources available."
State nonprofits/advocacy orgs,168,"We also see that students-of-color have been the recipient of added pressure because of COVID-19, and that was not taken into full consideration from the economy can certainly... The fact that COVID-19 has impacted communities-of-color to a large extent as community, but we also saw this past couple of months or more, lots of state sanctioned violence on our television screen, which has impacted communities-of-color, in particular African American community, quite a bit prior to the return to school."
State nonprofits/advocacy orgs,169,"So I think that there is a going list of potential reason for mental health crisis that has not been addressed that is compounded for communities-of-color, which creates pretty much a reason for us to go out and prioritize mental health resources in our schools going forward."
State nonprofits/advocacy orgs,170,"Add on there are gaps in accessibility to mental health supports for the entire population, but especially for students. What we find is most students who get any level of mental health support, it is often starting in schools. So we view that as an equity policy to get more mental health providers out in all schools, that is like nurses, counselors, social workers, psychologists."
State nonprofits/advocacy orgs,171,"That is what we are aimed at pushing for in the legislature and to get so that it is not just certain school districts who have enough money to prioritize them, but all school districts to be able to have that service and where we can encourage schools to be partners with creating school health centers, could be an equity issue where we can help fill in some gaps of providers and communities if we can partner them with schools."
State nonprofits/advocacy orgs,172,"We often use a lot of the OSPI data, whether that is on educator data or student data. I have been diving into their discipline data. I can get volumes of data, but having the easier tools to help smarize, so you can help find some differences between districts would be helpful and crossing."
State nonprofits/advocacy orgs,173,"There are lots of different data sets within OSPI and ways to marry those up because sometimes I have a question over here that I want to tag over here, but I really cannot merge the call. I could with a lot of time, but I do not always have that time."
State nonprofits/advocacy orgs,174,"Then in terms of effectiveness of programs, one thing I was going to say back on the diverse educators is we are looking at things like doing a better job of grow your own. I do not know how we get data measures on that, but finding ways to show what recruitment approaches might be helpful. we have looked at paying student teachers for their time. that can be a hurdle based on economic status. So we believe those are good strategies, but if there is data to help us support that all the better."
State nonprofits/advocacy orgs,175,"just to talk about this, not just about the OSPI data they typically collect about sort of for accountability purpose, like a breakdown by there is a different group of students and there are different sort of data, but they sort of like house data or host it different places and it is not so easily to merge them together to look at the practical policy question folks that are interested in because it is oftentimes informed by multiple data points."
State administrators/legislators/board,208,"And I do not think the extra dollars were recently released under the COVID-19 stimulus packages have been helpful in clarifying that; now, people are scrambling to spend more funds we are hearing ESD say, ""Oh, we used to charge for service A and C, and we used to give services, X, Y, and Z for free, but now schools are saying, we want to pay for X, Y, and Z too because we have all this money and we have to spend on certain things and it is one of those certain things we can spend out; we know it is free, but now we want to pay for it."""
State administrators/legislators/board,209,"There is an influx sometimes of funds and programs and initiatives, and then they dissipate, so there is no concrete moment where schools can say, ""I am going to have this my money and I am going to have it for 20 years, and I know that I have 20 years out and I can plan this long term;"" So I think there is a lot of, it is time to fund, but the influx of those initiatives that may or may not last, that may or may not be coordinated in a way that may actually help students instead of just became more hectic."
State administrators/legislators/board,210,"Having been a teacher in school, I can definitely say, ""yeah, I have felt a pull of different funds and people approach me and say, these are principles, ""We have X amount of dollars to do this thing, Do you want to do it? because we got to spend this money,"" and being like, ""we do not have any price, we are doing this thing and this thing and this thing and this thing;"" so I think that is a problem."
State administrators/legislators/board,211,"Yeah. I would say we are. And we have been working with our ESD (Education System Data) store CSA (Coordinated Service Agreement), trying to figure out how to coordinate these services; and one of the things that we have had, as I mentioned, our office is recently overturned, so now we have a whole different group programs coming in and trying to figure out, ""okay, we were starting to get some traction in our old version and now we lost some and we have more coming in, and how do we reshift those policies?"""
State administrators/legislators/board,212,"So now we are talking about these things working together, and do we also maintain that we tandem with that group that is now no longer part of our office? because now it is just starting to do we hang onto what is over here as we try to bring in what is over here, or do we let this go and focus on this new, but been an ongoing discussion because that other group was about 15 people; there was a lot of coordination and a lot of time putting into that, developing that system, but it also will be a lot of time to maintain it as we try to put more time into this other group."
State administrators/legislators/board,213,"Give and take in terms of how are we collaborating and coordinating services, there is a limitation and capacity and time to do meaningful collaboration coordination with everyone."
State administrators/legislators/board,214,"That old group was called K-12 Supports, and if you think of the tiered system I talked about earlier, tier foundational, tier one, tier two, tier three, and our work is focused on the top, we shape it like pyramid; K-12 supports, on the other hand, was at the bottom lower end, they are focused on what are the universal supports that will benefit tier three through foundational schools, and the argument here is, if it benefits a tier three school, it is probably going to benefit a foundational school."
State administrators/legislators/board,215,"You might have a high performance school that has terrible systems in place, but they might be somewhere in an affluent neighborhood; if a tier three system benefits and it might be possible that foundational school benefit is."
State administrators/legislators/board,216,"The other connection we had with this K-12 support team is they housed part of that list of score, I mentioned some of the score pieces, there is the SQSS, the School Quality of Student Success, includes dual-credit, ninth grade on track and attendance, and those three programs existed in K-12 support."
State administrators/legislators/board,217,"So we had worked over since I had started here in 2019, and before worked on collaborating, coordinating, when our continuous improvement partners and our CI team started focusing on those high level schools, how was that message also wrapped into what was going on at foundational schools? And how were we connecting tier three schools and tier two schools with foundational schools that had greater success so that they had a partner in the work and they were not feeling like an isolated, ""oh, you are one of those low performing schools, you go over there separate from"" how do we bring them into that whole body?"
State administrators/legislators/board,218,"This is Washington schools, these are Washington schools, and that tier three schools have access to and communication with their opportunity to communicate with foundational tier one schools, that was the work that we we are doing."
State administrators/legislators/board,219,"And we think it is important, we thought it was important, and we think it is important now, but now that our offices have been divided in our own OSPI building, how do we maintain that connection? So that is part of our ongoing discussion; also going back to your earlier question, part of all the things that can get fed into a school or a school district that can compound progress with too many initiatives happening at once."
State administrators/legislators/board,220,"I think one of the outcomes that our agency, and now I am talking about OSPI agency I oversee, or really have anything to do with it all, is to look at what are the technology barriers that students are facing outside of the school building? How are they having the opportunity to engage in school and in school work outside of the building in terms of software and hardware and connectivity, so having that discussion, it was very much part of the earlier discussions that we had."
State administrators/legislators/board,221,"And a lot of the articles I had read in the newspapers would focus on, a family of five having one computer and not great internet access, or setting up internet access sites in a parking lot of a school, so you can drive up your car on a laptop during your battery life; how is our current reliance on technology impacting the schooling experience for students? And this is probably when you are looking at your low socio-economic status or your economic inequities, is what I am focusing on here with this technology."
State administrators/legislators/board,222,"I think highlighting that ongoing thing and changing the discussion from what used to be, what was it? The digital divide, I think that is gone; I do not think we use anymore, but saying, ""okay, what is this next generation of technology escalates and improves our systems?"" And COVID-19 forcing families to rely on technology brought that about."
State administrators/legislators/board,223,"The other aspect was the extreme importance of school for so many families as parents try to work, what it meant to try to help children with school work while working a full-time job. The way our societys been structured around having a school, where students go and parents go to work and they go their separate ways."
State administrators/legislators/board,224,"Due to COVID-19, that system was lost and really exposed a lot of...I believe in the system for low wage workers who did not have the opportunity to say, ""Okay. I am going to stay home today, I am working from home because I have... I am going to stay home this year, because I have to help my student get through first grade, or fifth grade or 12th grade."" And then more affluent families have that opportunity. They have the access to technology, the flexibility that works. again, that highlighted now, is there an opportunity? I do not know."
State administrators/legislators/board,225,"That is outside of the education realm, what we focused was getting that access, like how do we improve technological access for our students who do not have it, who do not have it now, who will not have it in two years or three years unless we introduce."
State administrators/legislators/board,226,"Your question was access to reliable information. And so when I am talking about information, usually what I use would be state data, and state data change dramatically under COVID-19 in ways that seem very predictable, in ways that may not seem predictable. It is to the point where if you go to our report card, we still have a warning say, ""interpret all data from 2020 to current data with caution."" Because things have shifted and we do not really know if this is a shift that is meaningful and important, or if this is a shift and it has been impacting just data work."
State administrators/legislators/board,227,"For example, we can look at attendance and attendance is a good one for our discussion because it is part of that list score, also as soon as COVID-19 happened, schools stopped operating in-person, no one knew how to take attendance anymore, no one really knew what it means to attend the class. Did you have to be in Zoom? Did you have to complete the packet? Going back to that technology question, what if you did not have access to Zoom all day long? What if your parents were working and you did not have technology at all? Were you to be penalized because the school was not open and you did not have a physical space to go? there was and continue to be a lot of discussion on what is attendance and how do we measure attendance; and this feeds into school accountability."
State administrators/legislators/board,228,"Over the last couple years, we have seen remarkable changes in attendance, track the 2019-2020 school year, and you can see overall there was an increase in attendance, but if you look at just the time pre-COVID-19 and compared to other years of pre-COVID-19, so that same span of September to February, it is flat, but at the end of the year, it just really upticks because everyone was like, ""Well, they did some homework or they showed up for Zoom."" Whole system of data collection shifted overnight, and we are still trying to figure out what the implications of that."
State administrators/legislators/board,229,"Other data collection systems shifted overnight, the assumessments instantly stopped in 2019, we were scheduled to start them just before COVID-19 hit, and then schools closed and we were not ready to pivot to doing assumessments at home so that absolutely stopped. It stopped last year, and we just finished signing assumessments for this school year for last year, they were given in this fall, but they are going to count for the previous year because we have to report data for that previous year."
State administrators/legislators/board,230,"So we are going to say, ""okay, we tested in the 2021 window by expanding that window out And then we are going to turn around in March, we are going to assumess students again and it is going to be for this school year."" So we assumessed through this school year for last year, and then we are going to assumess again. So we have this weird data space that we were in as a data person, where were saying, we have data, is it reliable? Or we do not even have any data. What do we do now?"
State administrators/legislators/board,231,"In our world, we have our federal government is saying, ""okay, you have to continue your whistle. You have to continue your accountability system. because that is how we frame inequities and identify inequities and try and provide support. If you are not doing that, then you are not going to get the funding that goes toward that."" How do we do that system when it was designed in pre-COVID-19 and now we are in COVID-19 and we have huge data gaps."
State administrators/legislators/board,232,And what does that mean for students who might be struggling more now than they were in COVID-19? What does it mean for schools that actually might have benefited? There are silver linings even to COVID-19 and so they might have had the opportunity to revamp or redesign their systems in a way that has helped their students. We do not have a way to measure that.
State administrators/legislators/board,233,"We do not have a best way to measure risk during COVID-19. Trying to figure out what are those systems that we have in place? What are the data points that we have in place? And if not, how do we get them back? that is the discussion that has been ongoing since COVID-19 started. It continues in our state. It continues in every state. And as we try to figure out how do we, as is a shift, in our state specifically, how do we use this data gap, this opportunity to maybe change our WSIF (Washington School improvement Framework) score?"
State administrators/legislators/board,234,"There is the opportunity here to say, ""we do not have one because we do not have the data. How could we think about redesign?"" We did it one time. We were supposed to re-identify based on data from 2020, we could not do that. So we expanded our current identification, those schools that were identified in the system, they are going to be identified for the next year, which is this year that we are sitting in now, like they were identified even though we never ran another WSIF (Washington School improvement Framework) calculation."
State administrators/legislators/board,235,"Are we taking this opportunity to say what do we learned at the first round that we can then maybe modify this data gap? but that is a hard discussion in some sense, we are bound by what the federal government says we must measure. There is some comparability, I imagine between states, although only has a few metrics. We have to do these things and we have to weight them at least a certain way."
State administrators/legislators/board,236,"How are we doing them in the data gap and how are we looking at opportunities to improve our system? those are in discussions that we are having, and they are pretty challenging because it is hard to imagine restarting a program, let alone restarting with new data metrics."
State administrators/legislators/board,237,"Other states are doing a school survey, a student survey, and it is run almost like an assumessment in these schools where every student is asked to participate in a survey of their school. And the questions are about, they can be things about cleanliness of school, safetyness of school. Do you feel bullied at school? Do you have good interactions with your teachers? Do you have someone in your school, an adult who can turn to? So there is a bunch of different of these school climate surveys up there, and we have talked at one point about, what would it look like to include a school climate survey in our WSIF measure so we had attendance, we had ninth grade on track and we had this other metric, which is school climate survey."
State administrators/legislators/board,238,"what would it look like to do that? There is a lot of work with partners, traditionally called stakeholders out there, schools, school districts, parents, community members, because the questions that would appear on that survey would have to be approved, but they also have to be vetted. We have to do a pilot. We have to do all those things to make sure that our questions are valid and reliable and all those psychometric pieces would go into this work."
State administrators/legislators/board,239,"In taking a leadership role, it would be the state, the state and the state-Board-of-Education and say,""this is what we are proposing to do. We are proposing this outline, what the proposal looks like."" but then it is a lot of outreach to communities, community members and schools, and to say ""we are going to revamp this. We are going to add this in. And with the addition of a new metric, we are going to reweight what we already have."""
Local nonprofits/advocacy orgs,314,"The state does not make those resources available. We have grant money that we have received in order to begin the journey. And then it is identifying research, it is so layered. So we have some money set aside where we can do the thing, but then now we need to find the researcher and who is going to manage the process, and who is equipped internally to be actually be able to do that a lift? I do not know."
Local nonprofits/advocacy orgs,315,"It is incredibly cumbersome, and we are fortunate because of the platform that we have the privilege to carry. People are willing to give us resources to do that stuff, but even we get the resources and we cannot actually do the thing yet because of all the other steps that are involved."
Local nonprofits/advocacy orgs,316,"but generally speaking, the state does not provide those resources at all. We had to find outside grants that we are willing to resource that part of our effort."
Local nonprofits/advocacy orgs,317,"It is super layered. So lets say you have a new administrator in a building, a new principal. First year, second year, third year, wide-eyed and hopeful. And they say, "" what? We are going to reduce suspensions and expulsions. And we are going to create inclusive classrooms and make sure that young people have their behavior listened to and not criminalized."" They enroll this possibility with their assistant principals and the teachers, everybodys on board. School happens. Teachers are in the classroom, there is a young person that is being disruptive, and now the teacher wants to send that young person someplace. The principal then tells that teacher, I am sorry, you need to keep them in the classroom because our new way forward is we are not kicking kids out of class. Then the teacher says, I cannot actually teach with this young person in here. What do you want me to do? Eventually it wears down."
Local nonprofits/advocacy orgs,318,"The union potentially gets involved, because then you are asking teachers to potentially do things that are outside of their scope in supporting the classroom space, and then the administrator wears down and before it we are back into antiquated practices again. It seems like a really horrendous loop because the adults in the building who have the privilege are the ones who are constantly making decisions on behalf of the young people who do not."
Local nonprofits/advocacy orgs,319,"It is our conviction as an organization that those that are farthest away from power and position should be the vested stakeholders in decision making. that is messy and complicated and does not create clear lines like bureaucracies do, but to embolden those who are most impacted to be decision makers then begins to change the dynamic, and often the behavior, of the young people who are on campus, because it is a different level of efficacy that they hold and a different level of responsibility they carry for their actions."
Local nonprofits/advocacy orgs,320,"That is not a through line to our advocacy program per se, but that is the lens that I hold in the broader bureaucracy of schools and the way that power is held and manipulated."
Local nonprofits/advocacy orgs,321,"(Examples of where a school community does center students voices, family voices, does start to create that model of valuing and centering those who are furthest away from power) No. Not that it does not exist, I just have not seen it. Everythings so reactionary at a school level, particularly, and the school calendar is obscene. It is just the cadence of it. So end of August, you have like two weeks to train teachers up and give them an opportunity to get reset for the new year. And then the school year happens, and then you are in the rhythm of the school year, and then there is winter break, and then before it is January, and here we are in January, and then before it is spring. And then you are counting down until June and you are planning for next year already. And then the teachers are off, and then the administration office building closes down at some point in time at the end of July, beginning of August. what I mean? And then here we are again."
Local nonprofits/advocacy orgs,322,"There is not actually time to reset the thing to begin to do something different unless we do it on purpose. We had a school district reach out to us up North who was interested in our programming, and we were interested in co-laboring with them, but what we said we needed to do first was engage parents in the community, those who would be impacted, do some asset mapping to understand what the parents really want and what the young people really want, and if what we offer is aligned with that, then we are willing to co-create something with the school district and the community that would provide that service. They went with someone else because they were willing to just do a program."
Local nonprofits/advocacy orgs,323,The bureaucracy does not really carry a place where they center the voices when it comes to the build of the very interventions or educational models that are supporting the young people who are most distant from educational justice.
Local nonprofits/advocacy orgs,324,"but there is one offs, I think Highline does a great job in some respects in some areas, but again, I am a homer, because that is the district I grew up in and where our office is at, so I am almost proximate to it, but it is still not like a... There is no model for it. And I do not think the calendar of the school year provides for that."
Local nonprofits/advocacy orgs,325,I will also say that I think it is incredibly inequitable to have summer breaks. That is another antiquated model that I do not know why we still hold onto except white people really enjoy their vacations.
Local nonprofits/advocacy orgs,326,"(If the state were to do away with summer and do year-round calendar, you think that that would enhance equity?) absolutely, because there is so much learning loss that happens. And we watched that over the pandemic, and what are we really building to here? It is not like were in an agrarian society where we need our young people to be working the farms. What are they doing in the summer? We know what is happening to young people in the summer in the inner city spaces and how challenging it can be with absent of consistent structure and living in neighborhoods that are suffering from the disease of violence. Having year-round schools seems like not only a preventative model for harm, but also a preventative model that leads into creating more just educational system."
Local nonprofits/advocacy orgs,327,"The first and foremost is the mental health impacts that have been substantial as a result of the pandemic. And our state woefully resources mental health support. It is ridiculous. As a state, if our budget is our value statement, what our state says is we do not care about people who are suffering from mental health. And if you do not have private insurance, tough luck."
Local nonprofits/advocacy orgs,328,"And to find culturally competent mental health supports is super challenging. And then to find one that aligns with whatever insurance carrier you might have, even more challenging."
Local nonprofits/advocacy orgs,329,I think of staff members that we have here who cannot find them within our insurance and are paying 150 bucks a week. That is 600 bucks a month. Who has that? That is a privilege to be able to resource that.
Local nonprofits/advocacy orgs,330,"Thinking about how many young people are suffering as a result of social isolation, the returning, the distance learning, all the things that are happening. And we have an excellent opportunity to invest significantly in mental health supports that are coming from non-traditional avenues. Young people do not necessarily want to go to the huge carriers because they do not have relationships with them."
Local nonprofits/advocacy orgs,331,but what about the small and medi size nonprofit organizations who could staff somebody who is a mental health practitioner? But it is difficult for us to become licensed care facilities. And so that is a whole another process.
Local nonprofits/advocacy orgs,332,"If we can resource a mental health practitioner, we do not have to bill insurance, we can just have the young people see the mental health practitioner. but our healthcare, particularly mental health is set up, is it is only sustainable if it is billable. You largely compensate the cost of mental health practitioners with your reimbursements."
Local nonprofits/advocacy orgs,333,"So we have to do something about that, particularly outside of school and community, but also inside of school, but I think led by community-based organizations. That has to be an immediate need that is met."
Local nonprofits/advocacy orgs,334,We learned that some young people better engage virtually. For some young folks that is a better platform and that we should have the type of flexibility to do a both and approach moving forward and not either or.
Educator,359,"I will use one example from my work in highly capable, which is a couple years ago, the legislature passed a policy to require school districts to focus on equitable identification of students with low socio-economic-status (SES) backgrounds. And that is the first time they have ever called out a disaggregated student group to target."
Educator,360,"And we know in highly capable, gifted, advanced learning, there is pretty much most specialized populations that are not white middle class are underrepresented dramatically in those programs. So that was a step, the first step."
Educator,361,"There is other steps that need to be taken as well as thinking about racial equity in those programs, thinking about language, students with learning English and their access to those programs, students on IEPs. but taking that step was a huge step for our state."
Educator,362,"And actually in our district, we have been focusing in our own practice on trying to make those programs more equitable, especially students being identified for highly capable services for the last seven or eight years."
Educator,363,"but the students on free and reduced lunch was one of the pieces that for us was harder to move even than some of the other student groups that were looking at. And so once the state set that policy, it really forced us to say, now we really do need to concentrate on this. Why is this one not moving? What can we do? And in the last three years, we have grown 20%, so it is really helped us here. through line there from the state down to the local practice level for us. So that is been real exciting."
Educator,364,"Another one, there were just over this last couple years with the pandemic, and I am not going to be able to draw name a specific one exactly, but there have been so many policies set up for emergency funding as far as digital access and even reimbursing families for wifi, just all those different things that have been made available to our district and to our families."
Educator,365,"We are a very rural district, there is 450 square miles in our school district and most of that is just really remote and rural and have no cell phone service, barely wifi. And many of our families have not had access. Our school district has committed to providing hotspots and Chromebooks for the first time ever to anybody who needs them. Chromebooks to all and hotspots to any family that requests."
Educator,366,"Many of our families have four or five students and they may need several hotspots to maintain that connectivity. We have just made that commitment. I think we had over 700 hotspots out for our 3000 students at the height of the pandemic and that was very expensive. So having that policies from the state that came and the funding, that really made a huge difference for us in our ability to support our students in that way, at that time."
Educator,367,"I think it is a mix of the two. the ESSA funds from the federal level have been huge, but the state has had several different programs. a couple of them have expired. There is another grant that we are applying for now, which is going to offset the cost of some ongoing devices that we are trying to continue to purchase. I would have to check with my tech director to, or the IT director to remember the exact name of the ones that we really relied on in the last couple years."
Educator,368,"the other one that has been a huge contributor to our school district is the bilingual educator initiative. And that is a very small, it started the year I was teacher of the year was the year we were advocating for it to go through the legislature and get the funding for that. And there was four school districts that were involved."
Educator,381,"Another one for us is early-learning. we are just starting this TK program. We have 36 students, there is about 250 probably students who come into our kindergarten every year. So it is a very, very small group that we are able to serve as four-year-olds now."
